Oil_Price,Imports,Production,GDP,SP500,Stock_value,Treasury_note, Y_n_1,Y_n_2
2.508311937,1.055600238,-0.911631566,0.594395778,0.055512179,1.010618467,-0.300699081,2.087939026,1.854646463
2.088225778,1.049865628,-1.021807025,0.58369959,-0.071461841,0.966048254,-0.420427341,1.8546687,1.526019091
1.854589717,1.031900805,-0.872927576,0.573003403,-0.207646412,0.948508235,-0.522196362,1.525538339,1.446965587
1.524943324,0.508094413,-1.18064115,0.551611027,-0.212251688,0.923702551,-0.384508863,1.446363838,1.405152164
1.445644689,1.407612919,-0.935092458,0.599743872,-0.230672789,0.916132817,-0.384508863,1.404486416,1.505765714
1.403701609,1.199264462,-0.938592149,0.597069825,-0.172120003,0.893599654,-0.168997995,1.505253962,1.212745084
1.504627145,1.070031888,-1.130582607,0.581025544,-0.27343606,0.87058638,-0.145052343,1.211784843,1.020664671
1.210697906,1.157056642,-1.009804381,0.559633168,-0.281988715,0.848597342,0.088417764,1.019410437,0.773704141
1.018021883,1.31694628,-1.23324021,0.57567745,-0.389225841,0.827376479,0.082431351,0.772071915,0.831197598
0.770295568,1.60517161,-1.051800673,0.554285074,-0.456989178,0.789511803,0.172227545,0.82965337,0.614617132
0.827967303,1.287593771,-0.99697218,0.516848417,-0.434620698,0.78683919,0.369779174,0.612741412,0.482970183
0.610715257,1.078783285,-1.098618762,0.516848417,-0.469489211,0.78683919,0.435629717,0.480892967,0.499956886
0.478660092,1.615037315,-0.857684477,0.511500323,-0.463568143,0.78683919,0.220118849,0.497905669,0.384316637
0.495699468,1.197769659,-1.016881534,0.500804135,-0.492515588,0.772787971,0.184200371,0.382088425,0.346423223
0.379700638,1.65887583,-0.931592767,0.463367477,-0.529357791,0.760145074,0.106377003,0.344137011,0.190602888
0.341689722,-0.231181137,-1.330713086,0.476737712,-0.491857692,0.760177081,0.20215961,0.188078182,0.433970077
0.185386214,1.516380271,-0.940795658,0.436627008,-0.500410346,0.760193085,0.226105262,0.431817863,0.339889875
0.429508045,0.96414543,-0.877904914,0.42593082,-0.499094553,0.760193085,0.112363415,0.337593664,0.333683195
0.335136116,0.975234156,-1.107121715,0.420582726,-0.508305104,0.760193085,0.130322654,0.331377485,0.494076873
0.32891019,1.42761611,-0.940510498,0.396516304,-0.514884068,0.760193085,0.208146023,0.492016657,0.795917522
0.489801222,1.645748736,-1.133045352,0.388494163,-0.539226238,0.747902268,0.20215961,0.794319295,0.840670951
0.792577829,1.813655958,-0.995494533,0.375123928,-0.545805203,0.747950279,0.291955805,0.839141223,0.727644042
0.837470032,1.532034943,-0.951761357,0.351057505,-0.549752582,0.748030298,0.423656891,0.725941317,0.724050701
0.724092645,1.647678392,-1.030439596,0.353731552,-0.535936756,0.748062305,0.435629717,0.722342476,0.678317269
0.720488161,1.59416442,-0.906446839,0.348383458,-0.493831381,0.760113066,0.435629717,0.676539046,0.457816795
0.674612918,0.95205111,-1.093537729,0.32966513,-0.47343659,0.748702452,0.363792761,0.45570108,0.423190054
0.453428708,1.127812846,-1.005604752,0.335013224,-0.471462901,0.71936773,0.208146023,0.42102134,0.549283658
0.418694595,0.510567633,-1.393111281,0.289554425,-0.471462901,0.698803018,0.112363415,0.54730794,0.350669898
0.545179195,1.141945535,-0.989065471,0.284206332,-0.453699696,0.67782221,0.022567221,0.348390187,0.315063155
0.345949566,1.335590559,-1.0370242,0.260139909,-0.453699696,0.695202193,0.046512873,0.312728945,0.443770098
0.310232412,1.280310001,-1.268314892,0.225377298,-0.457647075,0.712582175,0.088417764,0.441632884,0.552550332
0.439338454,0.869891263,-1.385178648,0.209333017,-0.481989244,0.706308738,0.046512873,0.550579614,0.53295029
0.548455998,0.377937779,-1.768407778,0.195962782,-0.429357526,0.841075618,-0.103147452,0.530949572,0.337276536
0.528795179,1.679123626,-0.867924314,0.187940641,-0.410936425,0.954173533,-0.073215387,0.334976325,0.250709684
0.332514673,1.656592858,-0.823828207,0.169222312,-0.392515323,0.923526511,-0.121106691,0.248276976,0.037722559
0.245679391,1.690728738,-0.813225439,0.14515589,-0.392515323,0.884909662,-0.228862125,0.034963859,0.14062278
0.032031828,1.702877416,-0.548078477,0.110393279,-0.397120599,0.845540641,-0.145052343,0.138021576,0.180149532
0.135251126,1.249924718,-0.719330025,0.110393279,-0.39119953,0.812605094,-0.025324083,0.177608827,-0.017157559
0.174900444,1.542444212,-0.544578786,0.091674951,-0.337252019,0.752911416,0.070458525,-0.020000257,-0.059950984
-0.023018464,0.689781007,-1.052370993,0.072956622,-0.319488814,0.654696911,-0.127093104,-0.062859181,-0.180491243
-0.065944585,1.335998233,-0.668882627,0.072956622,-0.327383572,0.617200319,-0.097161039,-0.183583936,-0.006704203
-0.186858619,1.423485016,-0.617450131,0.027497824,-0.295146644,0.552065394,-0.097161039,-0.009530902,0.150422801
-0.012532694,1.261339583,-0.827846371,0.008779495,-0.323436193,0.506678995,-0.109133865,0.147836597,-0.089351047
0.145081535,1.643683189,-0.890814886,0.000757354,-0.376067911,0.46759804,-0.174984408,-0.092304243,-0.123324453
-0.095435813,0.820209424,-1.093693271,-0.034005256,-0.369488946,0.466765849,-0.151038756,-0.126329648,-0.257911409
-0.129514565,1.726196353,-0.76632958,-0.042027397,-0.390541634,0.446457195,-0.061242561,-0.261122599,-0.347744936
-0.264518853,1.590169217,-0.638292735,-0.044701444,-0.358962603,0.393084966,0.064472112,-0.351093623,-0.274244778
-0.354630939,1.501459412,-0.840574877,-0.087486195,-0.315541435,0.340464908,0.208146023,-0.277480967,-0.389558359
-0.280902869,1.719510504,-0.580638566,-0.07411596,-0.317515125,0.323837098,0.20215961,-0.392971044,-0.389885026
-0.396574018,1.160481101,-0.721274298,-0.108878571,-0.245804408,0.273793631,-0.007364844,-0.393298212,-0.456851837
-0.396901699,1.413130103,-0.531902128,-0.111552618,-0.220146446,0.176603361,-0.336617559,-0.46036752,-0.469265197
-0.464076162,0.256668432,-0.85677715,-0.138293087,-0.164883141,0.092168014,-0.180970821,-0.47279988,-0.540478683
-0.476528014,0.788655477,-0.557385063,-0.173055698,-0.147119936,0.000835086,-0.13906593,-0.544122363,-0.573798755
-0.547962322,1.072505109,-0.56819522,-0.173055698,-0.183962139,-0.043463065,-0.073215387,-0.577493434,-0.598952142
-0.581385714,0.537745882,-0.73198076,-0.181077839,-0.119488284,-0.120104626,-0.049269735,-0.60268532,-0.665265618
-0.606617098,1.391686465,-0.534364873,-0.205144261,-0.014224848,-0.16376263,-0.043283322,-0.669100294,-0.558772056
-0.673136201,1.301047005,-0.683425788,-0.213166402,0.095643865,-0.267914495,-0.067228974,-0.562443735,-0.585232113
-0.566312419,1.357849545,-0.566328718,-0.239906872,0.105512312,-0.364944729,0.04052646,-0.588944291,-0.588498786
-0.592854525,1.367525002,-0.626860411,-0.263973294,0.176565131,-0.459254339,-0.234848538,-0.592215965,-0.671798965
-0.596131328,1.098188554,-0.644488484,-0.282691623,0.239065297,-0.521124516,-0.629951796,-0.675643641,-0.669838961
-0.679689807,1.467731205,-0.494235083,-0.317454233,0.215381024,-0.60794441,-0.49825071,-0.673680637,-0.495398586
-0.677723725,1.008065481,-0.592589363,-0.317454233,0.202880991,-0.664453358,-0.252807777,-0.498973268,-0.419611757
-0.502742439,0.686247835,-0.381752421,-0.338846609,0.194328336,-0.669862598,-0.342603972,-0.423070441,-0.513691959
-0.426720607,-0.637767742,-0.848040884,-0.333498515,0.229854746,-0.669862598,-0.288726255,-0.51729464,-0.627698871
-0.521092537,0.186956223,-0.420508259,-0.360238985,0.425250001,-0.669862598,-0.19893006,-0.631476048,-0.729292422
-0.635452965,0.278003357,-0.447468841,-0.360238985,0.501565992,-0.67235917,-0.210902886,-0.733225096,-0.647952247
